Time;Action
4.000000;1.000000
10.000000;2.000000
2015.000000;3.000000
0.000000;4.000000
0.000000;5.000000
0.000000;6.000000
0.010000;7.000000
4.000000;11.000000
7777.000000;12.000000
1.000000;13.000000
0.000000;40.000000
2.000000;14.000000
59656980.000000;25.000000
59656980.000000;17.000000
59656980.000000;19.000000
59656980.000000;21.000000
59657180.000000;26.000000
59657580.000000;25.000000
59663040.000000;18.000000
59663040.000000;20.000000
59663100.000000;22.000000
59664400.000000;26.000000
59664770.000000;25.000000
59693070.000000;34.000000
59693070.000000;36.000000
59741080.000000;33.000000
59770180.000000;26.000000
59779020.000000;25.000000
59779020.000000;17.000000
59779020.000000;19.000000
59779020.000000;21.000000
59779270.000000;26.000000
59781850.000000;25.000000
59782570.000000;26.000000
59785090.000000;18.000000
59785140.000000;20.000000
59785140.000000;22.000000
59789310.000000;25.000000
59789460.000000;26.000000
59792090.000000;25.000000
59792450.000000;26.000000
59815100.000000;34.000000
59815100.000000;36.000000
59832480.000000;25.000000
59832680.000000;26.000000
59867750.000000;25.000000
59867950.000000;26.000000
59870570.000000;23.000000
59870770.000000;24.000000
59871620.000000;23.000000
59871970.000000;24.000000
59872440.000000;23.000000
59872490.000000;24.000000
59873840.000000;23.000000
59874040.000000;24.000000
59875700.000000;25.000000
59875800.000000;26.000000
59876630.000000;25.000000
59878210.000000;26.000000
59882830.000000;25.000000
59883130.000000;26.000000
59883680.000000;25.000000
59885980.000000;26.000000
59929100.000000;33.000000
59991270.000000;25.000000
59991270.000000;17.000000
59991270.000000;19.000000
59991270.000000;21.000000
59991430.000000;26.000000
59991830.000000;25.000000
59992250.000000;26.000000
59993890.000000;23.000000
59994140.000000;24.000000
59994390.000000;18.000000
59994390.000000;20.000000
59994390.000000;22.000000
59994970.000000;23.000000
59994970.000000;29.000000
59994970.000000;36.000000
59995280.000000;24.000000
59995330.000000;23.000000
59997350.000000;24.000000
60023510.000000;23.000000
60024560.000000;24.000000
60026630.000000;25.000000
60027690.000000;26.000000
60027730.000000;25.000000
60031790.000000;26.000000
60033740.000000;25.000000
60036850.000000;26.000000
60037200.000000;25.000000
60037300.000000;26.000000
60143000.000000;33.000000
60153530.000000;25.000000
60153530.000000;17.000000
60153530.000000;19.000000
60153530.000000;21.000000
60153680.000000;26.000000
60154130.000000;25.000000
60154490.000000;26.000000
60154650.000000;25.000000
60155010.000000;26.000000
60156870.000000;23.000000
60157020.000000;24.000000
